Y,X
25.13571345,121.2868634
25.21053675,121.2978945
25.45410693,121.3081715
25.18510424,121.3087097
25.55313658,121.3181376
25.16890695,121.319142
25.1494936,121.3336926
25.16026262,121.3475809
25.17289371,121.3524939
25.97579255,121.3569025
25.16028444,121.3578789
25.15578965,121.3581943
25.3937041,121.3582847
26.09054731,121.362161
25.17995327,121.3659542
25.15744444,121.365868
25.15830907,121.3663259
26.32067811,121.3705778
25.22196718,121.3709506
25.15674859,121.3714917
25.17945691,121.3793315
25.92787332,121.3830301
25.16611957,121.3866237
26.17192063,121.3885542
25.94021718,121.4003648
26.4430629,121.4178676
25.81468933,121.424776
25.28968379,121.4705896
25.97931774,121.4795485
25.5607356,121.4801971
25.91170697,121.4903866
26.32836982,121.5064305
26.03615836,121.5177271
26.03209391,121.5175342
26.34967646,121.5242718
26.31469162,121.5507682
25.79826428,121.5790707
25.89112341,121.593747
26.25539697,121.5965298
25.35412533,121.6026239
25.31644037,121.6273339
25.65863111,121.6468327
26.09769548,121.6605067
26.09476584,121.6608016
26.51250229,121.6718835
25.58871197,121.6767956
25.47814674,121.6843545
26.47426214,121.702105
26.08581416,121.7035284
26.53472484,121.7043572
26.49605949,121.7069946
26.48389844,121.7070432
25.64337219,121.707138
26.51648423,121.7088336
26.46464914,121.7095572
26.45334528,121.710156
26.52133461,121.7139475
26.46719514,121.7167436
26.48199043,121.7177647
26.55034405,121.7227743
26.46609143,121.7230325
26.4870185,121.7233536
26.5009933,121.7249413
26.49631257,121.7261997
26.44685194,121.7262194
25.58052848,121.7267662
26.45801476,121.7269979
26.43777677,121.7270599
26.45294253,121.729645
26.50346308,121.7313916
25.51417996,121.7322975
26.51030755,121.732837
26.49247731,121.7350986
26.41361036,121.73525
26.46524073,121.7357327
26.50091256,121.7401627
26.48695668,121.743443
26.51348369,121.7464117
26.50882805,121.7502768
26.57877247,121.7508599
25.24830529,121.7537493
25.44380115,121.7574709
26.5605535,121.7587251
26.54292221,121.7598768
26.52700333,121.760386
26.50968845,121.7610716
26.45376061,121.76164
25.65151731,121.7757752
25.23363276,121.7797141
25.74930282,121.7882696
25.72442693,121.7947754
26.55997821,121.8307093
25.37355974,121.8676531
25.1809541,121.8751852
26.45445054,121.899027
25.77149746,121.9020846
25.79286027,121.917035
25.79692354,121.9233865
25.86317066,121.9680394
25.85337304,121.97734
25.81439144,121.9918821
25.79831021,122.0104488
25.71027141,122.0395609
25.71720885,122.0438562
25.50572502,122.0789567
